year,retro_id,lahman_id,bbr_id,city,team,name
1972,NYA,NYA,NYY,New York,Yankees,New York Yankees
1972,NYN,NYN,NYM,New York,Mets,New York Mets
1972,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1972,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1972,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1972,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1972,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1972,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1972,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1973,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1973,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1973,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1973,CAL,CAL,CAL,California,Angels,California Angels
1973,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1973,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1973,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1973,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1973,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1973,HOU,HOU,HOU,Houston,Astros,Houston Astros
1973,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1973,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1973,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1973,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1973,MON,MON,MON,Montreal,Expos,Montreal Expos
1973,NYA,NYA,NYY,New York,Yankees,New York Yankees
1973,NYN,NYN,NYM,New York,Mets,New York Mets
1973,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1973,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1973,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1973,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1973,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1973,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1973,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1974,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1974,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1974,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1974,CAL,CAL,CAL,California,Angels,California Angels
1974,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1974,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1974,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1974,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1974,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1974,HOU,HOU,HOU,Houston,Astros,Houston Astros
1974,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1974,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1974,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1974,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1974,MON,MON,MON,Montreal,Expos,Montreal Expos
1974,NYA,NYA,NYY,New York,Yankees,New York Yankees
1974,NYN,NYN,NYM,New York,Mets,New York Mets
1974,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1974,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1974,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1974,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1974,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1974,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1974,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1975,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1975,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1975,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1975,CAL,CAL,CAL,California,Angels,California Angels
1975,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1975,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1975,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1975,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1975,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1975,HOU,HOU,HOU,Houston,Astros,Houston Astros
1975,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1975,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1975,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1975,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1975,MON,MON,MON,Montreal,Expos,Montreal Expos
1975,NYA,NYA,NYY,New York,Yankees,New York Yankees
1975,NYN,NYN,NYM,New York,Mets,New York Mets
1975,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1975,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1975,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1975,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1975,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1975,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1975,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1976,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1976,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1976,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1976,CAL,CAL,CAL,California,Angels,California Angels
1976,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1976,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1976,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1976,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1976,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1976,HOU,HOU,HOU,Houston,Astros,Houston Astros
1976,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1976,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1976,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1976,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1976,MON,MON,MON,Montreal,Expos,Montreal Expos
1976,NYA,NYA,NYY,New York,Yankees,New York Yankees
