year,retro_id,lahman_id,bbr_id,city,team,name
1985,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1985,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1985,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1985,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1985,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1985,HOU,HOU,HOU,Houston,Astros,Houston Astros
1985,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1985,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1985,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1985,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1985,MON,MON,MON,Montreal,Expos,Montreal Expos
1985,NYA,NYA,NYY,New York,Yankees,New York Yankees
1985,NYN,NYN,NYM,New York,Mets,New York Mets
1985,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1985,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1985,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1985,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1985,SEA,SEA,SEA,Seattle,Mariners,Seattle Mariners
1985,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1985,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1985,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1985,TOR,TOR,TOR,Toronto,Blue Jays,Toronto Blue Jays
1986,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1986,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1986,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1986,CAL,CAL,CAL,California,Angels,California Angels
1986,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1986,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1986,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1986,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1986,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1986,HOU,HOU,HOU,Houston,Astros,Houston Astros
1986,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1986,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1986,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1986,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1986,MON,MON,MON,Montreal,Expos,Montreal Expos
1986,NYA,NYA,NYY,New York,Yankees,New York Yankees
1986,NYN,NYN,NYM,New York,Mets,New York Mets
1986,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1986,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1986,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1986,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1986,SEA,SEA,SEA,Seattle,Mariners,Seattle Mariners
1986,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1986,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1986,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1986,TOR,TOR,TOR,Toronto,Blue Jays,Toronto Blue Jays
1987,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1987,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
