player,fullname,firstname,lastname,suffix,givenname,nickname,matrilineal
AARDD001,David Aardsma,David,Aardsma,,David Allan,,
AAROH101,Hank Aaron,Hank,Aaron,,Henry Louis,Hammer; Hammerin' Hank; Bad Henry,
AAROT101,Tommie Aaron,Tommie,Aaron,,Tommie Lee,,
AASED001,Don Aase,Don,Aase,,Donald William,,
ABADA001,Andy Abad,Andy,Abad,,Fausto Andres,,
ABADF001,Fernando Abad,Fernando,Abad,,Fernando Antonio,,
ABBOG001,Glenn Abbott,Glenn,Abbott,,William Glenn,,
ABBOJ001,Jim Abbott,Jim,Abbott,,James Anthony,,
ABBOJ002,Jeff Abbott,Jeff,Abbott,,Jeffrey William,,
ABBOK001,Kyle Abbott,Kyle,Abbott,,Lawrence Kyle,,
ABBOK002,Kurt Abbott,Kurt,Abbott,,Kurt Thomas,,
ABBOP001,Paul Abbott,Paul,Abbott,,Paul David,,
ABERB001,Brent Abernathy,Brent,Abernathy,,Michael Brent,,
ABERR001,Reggie Abercrombie,Reggie,Abercrombie,,Reginald Damascus,,
ABERT101,Ted Abernathy,Ted,Abernathy,,Theodore Wade,,
ABNES001,Shawn Abner,Shawn,Abner,,Shawn Wesley,,
ABREB001,Bobby Abreu,Bobby,Abreu,,Bob Kelly,,
ABREJ001,Johnny Abrego,Johnny,Abrego,,Johnny Ray,,
ABREJ002,Juan Abreu,Juan,Abreu,,Juan de Dios,,Reyes
ABREJ003,Jose Abreu,Jose,Abreu,,Jose Dariel,,Correa
ABRET001,Tony Abreu,Tony,Abreu,,Etanislao Toni,,
ABREW001,Winston Abreu,Winston,Abreu,,Winston Leonardo,,
ACCAJ001,Jeremy Accardo,Jeremy,Accardo,,Jeremiah Lee,,
ACEVA001,Alfredo Aceves,Alfredo,Aceves,,Alfredo,,
ACEVJ001,Juan Acevedo,Juan,Acevedo,,Juan Carlos,,
ACEVJ002,Jose Acevedo,Jose,Acevedo,,Jose Omar,,
ACHTA001,A. J. Achter,A. J.,Achter,,Adam Joseph,,
ACKEJ001,Jim Acker,Jim,Acker,,James Justin,,
ACKLD001,Dustin Ackley,Dustin,Ackley,,Dustin Michael,,
ACKLF101,Fritz Ackley,Fritz,Ackley,,Florian Frederick,,
ACOSC101,Cy Acosta,Cy,Acosta,,Cecilio,,Miranda
ACOSE101,Ed Acosta,Ed,Acosta,,Eduardo Elixbet,,Lopez
ACOSM001,Manny Acosta,Manny,Acosta,,Manuel Alcides,,Molina
ACREM001,Mark Acre,Mark,Acre,,Mark Robert,,
ACUNR001,Ronald Acuna,Ronald,Acuna,,Ronald Jose,,Blanco
ADAIJ101,Jerry Adair,Jerry,Adair,,Kenneth Jerry,,
ADAMA001,Austin Adams,Austin,Adams,,Austin David,,
ADAMA002,Austin Adams,Austin,Adams,,Austin Lance,,
ADAMB105,Bob Adams,Bob,Adams,,Robert Melvin,,
ADAMC001,Cristhian Adames,Cristhian,Adames,,Cristhian Pascual,,
ADAMC002,Chance Adams,Chance,Adams,,Chance,,
ADAMD001,David Adams,David,Adams,,David Lee,,
ADAMD101,Doug Adams,Doug,Adams,,Harold Douglas,,
ADAMG101,Glenn Adams,Glenn,Adams,,Glenn Charles,,
ADAMJ001,Joel Adamson,Joel,Adamson,,Joel Lee,,
ADAMJ002,Jason Adam,Jason,Adam,,Jason Kendall,,
ADAML001,Lane Adams,Lane,Adams,,Lane Weston,,
ADAMM001,Mike Adams,Mike,Adams,,Jon Michael,,
ADAMM002,Matt Adams,Matt,Adams,,Matthew James,Big City,
ADAMM101,Mike Adamson,Mike,Adamson,,John Michael,,
ADAMM102,Mike Adams,Mike,Adams,,Robert Michael,,
ADAMR001,Ricky Adams,Ricky,Adams,,Ricky Lee,,
ADAMR002,Russ Adams,Russ,Adams,,Russ Moore,,
ADAMR003,Ryan Adams,Ryan,Adams,,Ryan Scott,,
ADAMT001,Terry Adams,Terry,Adams,,Terry Wayne,,
ADAMW001,Willie Adams,Willie,Adams,,William Edward,,
ADAMW002,Willy Adames,Willy,Adames,,Willy Rafael,,Luna
ADCOJ101,Joe Adcock,Joe,Adcock,,Joseph Wilbur,,
ADCON001,Nathan Adcock,Nathan,Adcock,,Nathan Masler,,
ADDUJ001,Jim Adduci,Jim,Adduci,,James David,,
ADDUJ002,Jim Adduci,Jim,Adduci,,Jim Charles,,
ADENN001,Nick Adenhart,Nick,Adenhart,,Nicholas James,,
ADKIJ001,Jon Adkins,Jon,Adkins,,Jonathan Scott,,
ADKIS001,Steve Adkins,Steve,Adkins,,Steven Thomas,,
ADLED101,Dave Adlesh,Dave,Adlesh,,David George,,
ADLET001,Tim Adleman,Tim,Adleman,,Timothy Max,,
ADRIE001,Ehire Adrianza,Ehire,Adrianza,,Ehire Enrique,,Palma
AFENT001,Troy Afenir,Troy,Afenir,,Michael Troy,,
AFFEJ001,Jeremy Affeldt,Jeremy,Affeldt,,Jeremy David,,
AGBAB001,Benny Agbayani,Benny,Agbayani,,Benny Peter,,
AGEET101,Tommie Agee,Tommie,Agee,,Tommie Lee,,
AGOSJ001,Juan Agosto,Juan,Agosto,,Juan Roberto,,Gonzalez
AGUAL001,Luis Aguayo,Luis,Aguayo,,Luis,,Muriel
AGUIC001,Chris Aguila,Chris,Aguila,,Christopher Louis,,
AGUIH101,Hank Aguirre,Hank,Aguirre,,Henry John,,
AGUIJ001,Jesus Aguilar,Jesus,Aguilar,,Jesus Alexander,,
AGUIR001,Rick Aguilera,Rick,Aguilera,,Richard Warren,,
AHEAP001,Pat Ahearne,Pat,Ahearne,,Patrick Howard,,
AHMEN001,Nick Ahmed,Nick,Ahmed,,Nicholas Mark,,
AIKEW001,Willie Aikens,Willie,Aikens,,Willie Mays,,
AINGD101,Danny Ainge,Danny,Ainge,,Daniel Ray,,
AINSK001,Kurt Ainsworth,Kurt,Ainsworth,,Kurt Harold,,
AKERD001,Darrel Akerfelds,Darrel,Akerfelds,,Darrel Wayne,,
AKERJ102,Jack Aker,Jack,Aker,,Jackie Delane,,
ALBAG001,Gibson Alba,Gibson,Alba,,Gibson Alberto,,Rosado
ALBAJ001,Jonathan Albaladejo,Jonathan,Albaladejo,,Jonathan,,Santana
ALBEA001,Andrew Albers,Andrew,Albers,,Andrew William,,
ALBEB101,Butch Alberts,Butch,Alberts,,Francis Burt,,
ALBEH001,Hanser Alberto,Hanser,Alberto,,Hanser Joel,,Pena
ALBEJ001,Jose Alberro,Jose,Alberro,,Jose Edgardo,,
ALBEM001,Matt Albers,Matt,Albers,,Matthew James,,
ALBIO001,Ozzie Albies,Ozzie,Albies,,Ozhaino Jurdy Jiandro,,
ALBUA001,Al Alburquerque,Al,Alburquerque,,Alberto Jose,,
ALBUV101,Vic Albury,Vic,Albury,,Victor,,
ALCAA001,Arismendy Alcantara,Arismendy,Alcantara,,Arismendy,,
ALCAI001,Israel Alcantara,Israel,Alcantara,,Israel,,Cristosomo
ALCAL101,Luis Alcaraz,Luis,Alcaraz,,Angel Luis,,Acosta
ALCAR001,Raul Alcantara,Raul,Alcantara,,Raul,,
ALCAS001,Sandy Alcantara,Sandy,Alcantara,,Sandy,,Montero
ALCAS101,Santo Alcala,Santo,Alcala,,Santo,,
ALCAV001,Victor Alcantara,Victor,Alcantara,,Victor Alfonso,,
ALDRC001,Cory Aldridge,Cory,Aldridge,,Cory Jerome,,
ALDRJ001,Jay Aldrich,Jay,Aldrich,,Jay Robert,,
ALDRM001,Mike Aldrete,Mike,Aldrete,,Michael Peter,,
ALDRS001,Scott Aldred,Scott,Aldred,,Scott Phillip,,
ALEXD001,Doyle Alexander,Doyle,Alexander,,Doyle Lafayette,,
ALEXG001,Gerald Alexander,Gerald,Alexander,,Gerald Paul,,
ALEXG101,Gary Alexander,Gary,Alexander,,Gary Wayne,,
ALEXM001,Manny Alexander,Manny,Alexander,,Manuel de Jesus,,
ALEXM101,Matt Alexander,Matt,Alexander,,Matthew,,
ALEXS001,Scott Alexander,Scott,Alexander,,Scott Alain,,
ALFAJ001,Jason Alfaro,Jason,Alfaro,,Jason,,
ALFAJ002,Jorge Alfaro,Jorge,Alfaro,,Jorge Mario,,Buelvas
ALFOA001,Antonio Alfonseca,Antonio,Alfonseca,,Antonio,El Pulpo,
ALFOA002,Anthony Alford,Anthony,Alford,,Anthony Joseph,,
ALFOE001,Edgardo Alfonzo,Edgardo,Alfonzo,,Edgardo Antonio,,
ALFOE002,Eliezer Alfonzo,Eliezer,Alfonzo,,Eliezer Jesus,,
ALICL001,Luis Alicea,Luis,Alicea,,Luis Rene,,de Jesus
ALLAA001,Andy Allanson,Andy,Allanson,,Andrew Neal,,
ALLAB101,Brian Allard,Brian,Allard,,Brian Marshall,,
ALLAK001,Kolby Allard,Kolby,Allard,,Kolby Kenneth,,
ALLEB001,Brandon Allen,Brandon,Allen,,Brandon Durell,,
ALLEB101,Bob Allen,Bob,Allen,,Robert Gray,,
ALLEB105,Bernie Allen,Bernie,Allen,,Bernard Keith,,
ALLEC001,Chad Allen,Chad,Allen,,John Chad,,
ALLEC002,Cody Allen,Cody,Allen,,Cody Edward,,
ALLED001,Dusty Allen,Dusty,Allen,,Dustin R.,,
ALLED101,Dick Allen,Dick,Allen,,Richard Anthony,,
ALLEG001,Gary Allenson,Gary,Allenson,,Gary Martin,,
ALLEG002,Greg Allen,Greg,Allen,,Gregory Lomack,,
ALLEG101,Gene Alley,Gene,Alley,,Leonard Eugene,,
ALLEH104,Hank Allen,Hank,Allen,,Harold Andrew,,
ALLEJ001,Jermaine Allensworth,Jermaine,Allensworth,,Jermaine LaMont,,
ALLEJ101,Jamie Allen,Jamie,Allen,,James Bradley,,
ALLEK101,Kim Allen,Kim,Allen,,Kim Bryant,,
ALLEL001,Luke Allen,Luke,Allen,,Lucas Gale,,
ALLEL101,Lloyd Allen,Lloyd,Allen,,Lloyd Cecil,,
ALLEN001,Neil Allen,Neil,Allen,,Neil Patrick,,
ALLER001,Rod Allen,Rod,Allen,,Roderick Bernet,,
ALLER101,Ron Allen,Ron,Allen,,Ronald Frederick,,
ALLIB101,Bob Allietta,Bob,Allietta,,Robert George,,
ALLIB103,Bob Allison,Bob,Allison,,William Robert,,
ALLID001,Dana Allison,Dana,Allison,,Dana Eric,,
ALLRB001,Beau Allred,Beau,Allred,,Dale LeBeau,,
ALMAA001,Armando Almanza,Armando,Almanza,,Armando,,
ALMAC001,Carlos Almanzar,Carlos,Almanzar,,Carlos Manuel,,Giron
ALMOA001,Abraham Almonte,Abraham,Almonte,,Abraham,,
ALMOA002,Albert Almora,Albert,Almora,,Reinaldo Albert,,
ALMOB001,Bill Almon,Bill,Almon,,William Francis,,
ALMOE001,Erick Almonte,Erick,Almonte,,Erick R.,,
ALMOE002,Edwin Almonte,Edwin,Almonte,,Edwin,,Sanchez
ALMOH001,Hector Almonte,Hector,Almonte,,Hector Radhames,,Moreta
ALMOM001,Miguel Almonte,Miguel,Almonte,,Miguel Emilio,,
ALMOY001,Yency Almonte,Yency,Almonte,,Yency,,
ALMOZ001,Zoilo Almonte,Zoilo,Almonte,,Zoilo Manuel,,
ALOMR001,Roberto Alomar,Roberto,Alomar,,Roberto,,Velazquez
ALOMS001,Sandy Alomar,Sandy,Alomar,,Santos,,Velazquez
ALOMS101,Sandy Alomar,Sandy,Alomar,,Santos,,Conde
ALONY001,Yonder Alonso,Yonder,Alonso,,Yonder,,
ALOUF101,Felipe Alou,Felipe,Alou,,Felipe Rojas,,
ALOUJ101,Jesus Alou,Jesus,Alou,,Jesus Maria Rojas,,
ALOUM001,Moises Alou,Moises,Alou,,Moises Rojas,,
ALOUM101,Matty Alou,Matty,Alou,,Mateo Rojas,,
ALSTD101,Dell Alston,Dell,Alston,,Wendell,,
ALSTG001,Garvin Alston,Garvin,Alston,,Garvin James,,
ALTAD001,Dan Altavilla,Dan,Altavilla,,Daniel,,
ALTAP001,Porfi Altamirano,Porfi,Altamirano,,Porfirio,,Ramirez
ALTHA001,Aaron Altherr,Aaron,Altherr,,Aaron Samuel,,
ALTMG101,George Altman,George,Altman,,George Lee,Big George,
ALTUJ001,Jose Altuve,Jose,Altuve,,Jose Carlos,Gigante,
ALUSG101,George Alusik,George,Alusik,,George Joseph,,
ALVAA001,Abe Alvarez,Abe,Alvarez,,Abraham,,
ALVAC001,Clemente Alvarez,Clemente,Alvarez,,Clemente Rafael,,
ALVAD001,Dario Alvarez,Dario,Alvarez,,Dario Rafael,,Espinal
ALVAD002,Dariel Alvarez,Dariel,Alvarez,,Dariel,,Camejo
ALVAG001,Gabe Alvarez,Gabe,Alvarez,,Gabriel de Jesus,,
ALVAH001,Henderson Alvarez,Henderson,Alvarez,,Henderson Javier,,
ALVAJ001,Jose Alvarez,Jose,Alvarez,,Jose Lino,,
ALVAJ002,Juan Alvarez,Juan,Alvarez,,Juan M.,,
ALVAJ003,Jose Alvarez,Jose,Alvarez,,Jose Ricardo,,
ALVAJ004,Jose Alvarado,Jose,Alvarado,,Jose Antonio,,Lizarzabal
ALVAL101,Luis Alvarado,Luis,Alvarado,,Luis Cesar,Pimba,Martinez
ALVAO102,Orlando Alvarez,Orlando,Alvarez,,Jesus Manuel Orlando,,Monge
ALVAP001,Pedro Alvarez,Pedro,Alvarez,,Pedro Manuel,,
ALVAR001,R. J. Alvarez,R. J.,Alvarez,,Roy Emilio,,
ALVAT001,Tavo Alvarez,Tavo,Alvarez,,Cesar Octavio,,
ALVAT002,Tony Alvarez,Tony,Alvarez,,Antonio Enrique,,
ALVAV001,Victor Alvarez,Victor,Alvarez,,Victor Aurelio,,
ALVAW001,Wilson Alvarez,Wilson,Alvarez,,Wilson Eduardo,,Fuenmayor
ALVIM101,Max Alvis,Max,Alvis,,Roy Maxwell,,
ALYEB101,Brant Alyea,Brant,Alyea,,Garrabrant Ryerson,,
AMALJ101,Joey Amalfitano,Joey,Amalfitano,,John Joseph,,
AMARA001,Alexi Amarista,Alexi,Amarista,,Alexi Jose,Little Ninja,Azocar
AMARR001,Rich Amaral,Rich,Amaral,,Richard Louis,,
AMARR002,Ruben Amaro Jr.,Ruben,Amaro,Jr.,Ruben,,
AMARR101,Ruben Amaro,Ruben,Amaro,,Ruben,,Mora
AMBRC001,Chip Ambres,Chip,Ambres,,Raymond Payne,,
AMBRH001,Hector Ambriz,Hector,Ambriz,,Hector,,
AMELE001,Ed Amelung,Ed,Amelung,,Edward Allen,,
AMESS001,Steve Ames,Steve,Ames,,Steven C.,,
AMEZA001,Alfredo Amezaga,Alfredo,Amezaga,,Alfredo,,Becerra
ANDEA001,Allan Anderson,Allan,Anderson,,Allan Lee,,
ANDEB001,Brady Anderson,Brady,Anderson,,Brady Kevin,,
ANDEB002,Brian Anderson,Brian,Anderson,,Brian James,,
ANDEB003,Brian Anderson,Brian,Anderson,,Brian Nikola,,
ANDEB004,Brett Anderson,Brett,Anderson,,Brett Franklin,,
ANDEB005,Bryan Anderson,Bryan,Anderson,,Bryan Douglas,,
ANDEB006,Brian Anderson,Brian,Anderson,,Brian Wade,,
ANDEB101,Bud Anderson,Bud,Anderson,,Karl Adam,,
ANDEC001,Chase Anderson,Chase,Anderson,,Robert Chase,,
ANDEC002,Cody Anderson,Cody,Anderson,,Cody Andrew,,
ANDEC101,Craig Anderson,Craig,Anderson,,Norman Craig,,
ANDED001,Dave Anderson,Dave,Anderson,,David Carter,,
ANDED002,Drew Anderson,Drew,Anderson,,Drew Thomas,,
ANDED003,Drew Anderson,Drew,Anderson,,Andrew James,,
ANDED101,Dwain Anderson,Dwain,Anderson,,Dwain Cleaven,,
ANDEG001,Garret Anderson,Garret,Anderson,,Garret Joseph,,
ANDEJ001,Jim Anderson,Jim,Anderson,,James Lea,,
ANDEJ002,Jimmy Anderson,Jimmy,Anderson,,James Drew,,
ANDEJ003,Jason Anderson,Jason,Anderson,,Jason Roger,,
ANDEJ004,Josh Anderson,Josh,Anderson,,Joshua Aaron,,
ANDEJ005,Justin Anderson,Justin,Anderson,,Justin Charles,,
ANDEK001,Kent Anderson,Kent,Anderson,,Kent McKay,,
ANDEL001,Larry Andersen,Larry,Andersen,,Larry Eugene,,
ANDEL002,Lars Anderson,Lars,Anderson,,Lars Eric,,
ANDEL101,Larry Anderson,Larry,Anderson,,Lawrence Dennis,,
ANDEM001,Mike Anderson,Mike,Anderson,,Michael James,,
ANDEM002,Matt Anderson,Matt,Anderson,,Matthew Jason,,
ANDEM003,Marlon Anderson,Marlon,Anderson,,Marlon Ordell,,
ANDEM101,Mike Anderson,Mike,Anderson,,Michael Allen,,
ANDER001,Rick Anderson,Rick,Anderson,,Richard Arlen,,
ANDER101,Rick Anderson,Rick,Anderson,,Richard Lee,,
ANDES001,Scott Anderson,Scott,Anderson,,Scott Richard,,
ANDET001,Tim Anderson,Tim,Anderson,,Timothy Devon,,
ANDET002,Tyler Anderson,Tyler,Anderson,,Tyler John,,
ANDET003,Tanner Anderson,Tanner,Anderson,,Tanner Ackley,,
ANDIR001,Robert Andino,Robert,Andino,,Robert Lazaro,,
ANDRC001,Clayton Andrews,Clayton,Andrews,,Clayton John,,
ANDRE001,Elvis Andrus,Elvis,Andrus,,Elvis Augusto,,Torres
ANDRF101,Fred Andrews,Fred,Andrews,,Fred,,
ANDRJ001,John Andreoli,John,Andreoli,,John Francis,,
ANDRJ101,John Andrews,John,Andrews,,John Richard,,
ANDRK101,Kim Andrew,Kim,Andrew,,Kim Darrell,,
ANDRM001,Matt Andriese,Matt,Andriese,,Matthew Lee,,
ANDRM101,Mike Andrews,Mike,Andrews,,Michael Jay,,
ANDRR101,Rob Andrews,Rob,Andrews,,Robert Patrick,,
ANDRS001,Shane Andrews,Shane,Andrews,,Darrell Shane,,
ANDRS002,Steve Andrade,Steve,Andrade,,Stephen Michael,,
ANDUJ001,Joaquin Andujar,Joaquin,Andujar,,Joaquin,,
ANDUL001,Luis Andujar,Luis,Andujar,,Luis,,Sanchez
ANDUM001,Miguel Andujar,Miguel,Andujar,,Miguel Enrique,,
ANGEN101,Norm Angelini,Norm,Angelini,,Norman Stanley,,
ANGLM001,Matt Angle,Matt,Angle,,Matthew Ryan,,
ANKIR001,Rick Ankiel,Rick,Ankiel,,Richard Alexander,,
ANNAD001,Dean Anna,Dean,Anna,,Dean William,,
ANTHE001,Eric Anthony,Eric,Anthony,,Eric Todd,,
ANTOD001,Dustin Antolin,Dustin,Antolin,,Dustin Kamakana Mai Ku'u Makualani,,
ANTOM001,Matt Antonelli,Matt,Antonelli,,Matthew Antonio,,
AOKIN001,Nori Aoki,Nori,Aoki,,Norichika,,
APARL101,Luis Aparicio,Luis,Aparicio,,Luis Ernesto,Little Louie,Montiel
APODB101,Bob Apodaca,Bob,Apodaca,,Robert John,,
APONL001,Luis Aponte,Luis,Aponte,,Luis Eduardo,,Yuripe
APPIK001,Kevin Appier,Kevin,Appier,,Robert Kevin,,
AQUIA001,Aristides Aquino,Aristides,Aquino,,Aristides,,Nunez
AQUIG001,Greg Aquino,Greg,Aquino,,Gregori Emilio,,Valera
AQUIJ001,Jayson Aquino,Jayson,Aquino,,Jayson Julio,,Felix
AQUIL001,Luis Aquino,Luis,Aquino,,Luis Antonio,,Colon
ARANV001,Victor Arano,Victor,Arano,,Victor Teodoro,,Armas
ARAUE001,Elvis Araujo,Elvis,Araujo,,Elvis Alejandro,,
ARAUP001,Pedro Araujo,Pedro,Araujo,,Pedro,,
ARCHC001,Chris Archer,Chris,Archer,,Christopher Alan,,
ARCIF001,Francisco Arcia,Francisco,Arcia,,Francisco Antonio,,
ARCIJ101,Jose Arcia,Jose,Arcia,,Jose Raimundo,,Orta
ARCIO001,Oswaldo Arcia,Oswaldo,Arcia,,Oswaldo Celestino,,
ARCIO002,Orlando Arcia,Orlando,Arcia,,Orlando Jesus,,
ARDOD001,Danny Ardoin,Danny,Ardoin,,Daniel Wayne,,
ARENJ001,J. P. Arencibia,J. P.,Arencibia,,Jonathan Paul,,
ARENN001,Nolan Arenado,Nolan,Arenado,,Nolan James,,
ARIAA001,Alex Arias,Alex,Arias,,Alejandro,,
ARIAA002,Alberto Arias,Alberto,Arias,,Alberto A.,,
ARIAG001,George Arias,George,Arias,,George Alberto,,
ARIAJ001,Joaquin Arias,Joaquin,Arias,,Joaquin,,
ARLID101,Don Arlich,Don,Arlich,,Donald Louis,,
ARLIS101,Steve Arlin,Steve,Arlin,,Stephen Ralph,,
ARMAM001,Marcos Armas,Marcos,Armas,,Marcos Rafael,,Ruiz
ARMAT001,Tony Armas,Tony,Armas,,Antonio Rafael,,Machado
ARMAT002,Tony Armas,Tony,Armas,,Antonio Jose,,
ARMBE101,Ed Armbrister,Ed,Armbrister,,Edison Rosanda,,
ARMSJ001,Jack Armstrong,Jack,Armstrong,,Jack William,,
ARMSM001,Mike Armstrong,Mike,Armstrong,,Michael Dennis,,
ARMSS001,Shawn Armstrong,Shawn,Armstrong,,Shawn Michael,,
ARNDL001,Larry Arndt,Larry,Arndt,,Larry Wayne,,
ARNOC101,Chris Arnold,Chris,Arnold,,Christopher Paul,,
ARNOJ001,Jamie Arnold,Jamie,Arnold,,James Lee,,
ARNOS001,Scott Arnold,Scott,Arnold,,Scott Gentry,,
ARNOT001,Tony Arnold,Tony,Arnold,,Tony Dale,,
ARNSB001,Brad Arnsberg,Brad,Arnsberg,,Bradley James,,
ARO-J001,Jonathan Aro,Jonathan,Aro,,Jonathan Arturo,,Roman
AROCR001,Rene Arocha,Rene,Arocha,,Rene,,Rodriguez
ARREJ001,Jose Arredondo,Jose,Arredondo,,Jose Juan,,
ARRIG101,Gerry Arrigo,Gerry,Arrigo,,Gerald William,,
ARRIJ001,Jake Arrieta,Jake,Arrieta,,Jacob Joseph,,
ARROB001,Bronson Arroyo,Bronson,Arroyo,,Bronson Anthony,,
ARROC001,Christian Arroyo,Christian,Arroyo,,Christian Israel,,
ARROF001,Fernando Arroyo,Fernando,Arroyo,,Fernando,,
ARROR001,Rolando Arrojo,Rolando,Arrojo,,Luis Rolando,,
ARROR101,Rudy Arroyo,Rudy,Arroyo,,Rudolph,,
ARRUE001,Erisbel Arruebarrena,Erisbel,Arruebarrena,,Barbaro Erisbel,,Escalante
ASADR001,Randy Asadoor,Randy,Asadoor,,Randall Carl,,
ASCAJ001,Jose Ascanio,Jose,Ascanio,,Jose Eleazar,,
ASCHC001,Cody Asche,Cody,Asche,,Cody James,,
ASENM001,Miguel Asencio,Miguel,Asencio,,Miguel,,DePaula
ASHBA001,Alan Ashby,Alan,Ashby,,Alan Dean,,
ASHBA002,Andy Ashby,Andy,Ashby,,Andrew Jason,,
ASHEA001,Alec Asher,Alec,Asher,,Alec Edward,,
ASHFT001,Tucker Ashford,Tucker,Ashford,,Thomas Steven,,
ASHLB001,Billy Ashley,Billy,Ashley,,Billy Manual,,
ASHLN001,Nevin Ashley,Nevin,Ashley,,Nevin Robert,,
ASPRB101,Bob Aspromonte,Bob,Aspromonte,,Robert Thomas,,
ASSEB101,Brian Asselstine,Brian,Asselstine,,Brian Hanly,,
ASSEP001,Paul Assenmacher,Paul,Assenmacher,,Paul Andre,,
ASTAE001,Ezequiel Astacio,Ezequiel,Astacio,,Ezequiel F.,,
ASTAP001,Pedro Astacio,Pedro,Astacio,,Pedro Julio,,Pura
ASTIB001,Barrett Astin,Barrett,Astin,,Barrett,,
ASTUW001,Willians Astudillo,Willians,Astudillo,,Willians Jose,,
ASUAC001,Carlos Asuaje,Carlos,Asuaje,,Carlos A.,,
ATCHJ001,Justin Atchley,Justin,Atchley,,Justin Scott,,
ATCHS001,Scott Atchison,Scott,Atchison,,Scott Barham,,
ATHEK001,Keith Atherton,Keith,Atherton,,Keith Rowe,,
ATILL001,Luis Atilano,Luis,Atilano,,Luis A.,,
ATKIB101,Bill Atkinson,Bill,Atkinson,,William Cecil Glenn,,
ATKIG001,Garrett Atkins,Garrett,Atkins,,Garrett Bernard,,
ATKIM001,Mitch Atkins,Mitch,Atkins,,Mitchell Shane,,
AUBRM001,Michael Aubrey,Michael,Aubrey,,Robert Michael,,
AUCOD001,Derek Aucoin,Derek,Aucoin,,Derek Alfred,,
AUDER001,Rich Aude,Rich,Aude,,Richard Thomas,,
AUERR101,Rick Auerbach,Rick,Auerbach,,Frederick Steven,,
AUGEB001,Bryan Augenstein,Bryan,Augenstein,,Bryan Christopher,,
AUGUD001,Don August,Don,August,,Donald Glenn,,
AUGUD101,Dave Augustine,Dave,Augustine,,David Ralph,,
AUGUJ001,Jerry Augustine,Jerry,Augustine,,Gerald Lee,,
AULTD101,Doug Ault,Doug,Ault,,Douglas Reagan,,
AUMOP001,Phillippe Aumont,Phillippe,Aumont,,Phillippe,,
AURIR001,Rich Aurilia,Rich,Aurilia,,Richard Santo,,
AUSAJ001,Joe Ausanio,Joe,Ausanio,,Joseph John,,
AUSMB001,Brad Ausmus,Brad,Ausmus,,Bradley David,,
AUSTD101,Dennis Aust,Dennis,Aust,,Dennis Kay,,
AUSTJ001,Jim Austin,Jim,Austin,,James Parker,,
AUSTJ002,Jeff Austin,Jeff,Austin,,Jeffrey Wellington,,
AUSTR101,Rick Austin,Rick,Austin,,Rick Gerald,,
AUSTT001,Tyler Austin,Tyler,Austin,,Christopher Tyler,,
AUTRA101,Al Autry,Al,Autry,,Albert,,
AVELA001,Abiatal Avelino,Abiatal,Avelino,,Abiatal,,
AVENB001,Bruce Aven,Bruce,Aven,,David Bruce,,
AVERS001,Steve Avery,Steve,Avery,,Steven Thomas,,
AVERX001,Xavier Avery,Xavier,Avery,,Xavier Tyrone,,
AVILA001,Alex Avila,Alex,Avila,,Alexander Thomas,,
AVILL001,Luis Avilan,Luis,Avilan,,Luis Armando,,
AVILM001,Mike Aviles,Mike,Aviles,,Michael Anthony,,
AVILR101,Ramon Aviles,Ramon,Aviles,,Ramon Antonio,,Miranda
AXELD001,Dylan Axelrod,Dylan,Axelrod,,Dylan Davis Haines,,
AXFOJ001,John Axford,John,Axford,,John Berton,,
AYALB001,Benny Ayala,Benny,Ayala,,Benigno,,Felix
AYALB002,Bobby Ayala,Bobby,Ayala,,Robert Joseph,,
AYALL001,Luis Ayala,Luis,Ayala,,Luis Ignacio,,
AYBAE001,Erick Aybar,Erick,Aybar,,Erick Johan,,
AYBAM001,Manny Aybar,Manny,Aybar,,Manuel Antonio,,
AYBAW001,Willy Aybar,Willy,Aybar,,Willy Del Jesus,,
AYRAB001,Bob Ayrault,Bob,Ayrault,,Robert Cunningham,,
AYRAJ001,Joe Ayrault,Joe,Ayrault,,Joseph Allen,,
AZCUJ101,Joe Azcue,Joe,Azcue,,Jose Joaquin,The Immortal Azcue,Lopez
AZOCO001,Oscar Azocar,Oscar,Azocar,,Oscar Gregorio,,Azocar
BABCB101,Bob Babcock,Bob,Babcock,,Robert Ernest,,
BABIS101,Shooty Babitt,Shooty,Babitt,,Mack Neal,,
BACKB001,Brandon Backe,Brandon,Backe,,Brandon Allen,,
BACKW001,Wally Backman,Wally,Backman,,Walter Wayne,,
BACSM001,Mike Bacsik,Mike,Bacsik,,Michael Joseph,,
BACSM101,Mike Bacsik,Mike,Bacsik,,Michael James,,
BADEB001,Burke Badenhop,Burke,Badenhop,,Burke Heinrich,,
BADEH001,Harrison Bader,Harrison,Bader,,Harrison Joseph,,
BAEKC001,Cha-Seung Baek,Cha-Seung,Baek,,Cha-Seung,,
BAERC001,Carlos Baerga,Carlos,Baerga,,Carlos Obed,,Ortiz
BAEZB001,Benito Baez,Benito,Baez,,Benito,,Ceri
BAEZD001,Danys Baez,Danys,Baez,,Danys G.,,Gonzalez
BAEZJ001,Javier Baez,Javier,Baez,,Ednel Javier,,
BAEZJ101,Jose Baez,Jose,Baez,,Jose Antonio,,
BAEZK001,Kevin Baez,Kevin,Baez,,Kevin Richard,,
BAEZP001,Pedro Baez,Pedro,Baez,,Pedro Alberys,,De La Cruz
