player,fullname,firstname,lastname,suffix,givenname,nickname,matrilineal
SHEAT001,Tom Shearn,Tom,Shearn,,Thomas Aaron,,
SHEEA001,Andy Sheets,Andy,Sheets,,Andrew Mark,,
SHEEB001,Ben Sheets,Ben,Sheets,,Ben M.,,
SHEEL001,Larry Sheets,Larry,Sheets,,Larry Kent,,
SHEFG001,Gary Sheffield,Gary,Sheffield,,Gary Antonian,,
SHEFJ001,Justus Sheffield,Justus,Sheffield,,Justus Kane,,
SHELB001,Ben Shelton,Ben,Shelton,,Benjamin Davis,,
SHELB101,Bob Sheldon,Bob,Sheldon,,Bob Mitchell,,
SHELC001,Chris Shelton,Chris,Shelton,,Christopher Bob,,
SHELJ001,John Shelby,John,Shelby,,John T.,,
SHELJ101,Jim Shellenback,Jim,Shellenback,,James Philip,,
SHELR101,Rollie Sheldon,Rollie,Sheldon,,Roland Frank,,
SHELS001,Scott Sheldon,Scott,Sheldon,,Scott Patrick,,
SHELS002,Steven Shell,Steven,Shell,,Steven Daniel,,
SHEPK001,Keith Shepherd,Keith,Shepherd,,Keith Wayne,,
SHEPR001,Ron Shepherd,Ron,Shepherd,,Ronald Wayne,,
SHERD001,Darrell Sherman,Darrell,Sherman,,Darrell Edward,,
SHERD101,Dennis Sherrill,Dennis,Sherrill,,Dennis Lee,,
SHERG001,George Sherrill,George,Sherrill,,George Friederich,,
SHERJ001,Jimmie Sherfy,Jimmie,Sherfy,,James Harold,,
SHERL101,Larry Sherry,Larry,Sherry,,Lawrence,,
SHERP001,Pat Sheridan,Pat,Sheridan,,Patrick Arthur,,
SHERR001,Ryan Sherriff,Ryan,Sherriff,,Ryan Sebastian,,
SHERT001,Tim Sherrill,Tim,Sherrill,,Timothy Shawn,,
SHIEJ001,Jason Shiell,Jason,Shiell,,Jason Alexander,,
SHIEJ002,James Shields,James,Shields,,James Anthony,,
SHIES001,Steve Shields,Steve,Shields,,Stephen Mack,,
SHIES002,Scot Shields,Scot,Shields,,Robert Scot,,
SHIET001,Tommy Shields,Tommy,Shields,,Thomas Charles,,
SHIFG101,Garland Shifflett,Garland,Shifflett,,Garland Jessie,Duck,
SHIFS001,Steve Shifflett,Steve,Shifflett,,Stephen Earl,,
SHINR001,Razor Shines,Razor,Shines,,Anthony Razor,,
SHINT001,Tsuyoshi Shinjo,Tsuyoshi,Shinjo,,Tsuyoshi,,
SHINZ001,Zak Shinall,Zak,Shinall,,Zakary Sebastien,,
SHIPB001,Braden Shipley,Braden,Shipley,,Braden Alec,,
SHIPC001,Craig Shipley,Craig,Shipley,,Craig Barry,,
SHIPD001,Dave Shipanoff,Dave,Shipanoff,,David Noel,,
SHIRB001,Bob Shirley,Bob,Shirley,,Robert Charles,,
SHIRB101,Bart Shirley,Bart,Shirley,,Barton Arvin,,
SHIRS101,Steve Shirley,Steve,Shirley,,Steven Brian,,
SHOCC101,Costen Shockley,Costen,Shockley,,John Costen,,
SHOEC101,Charlie Shoemaker,Charlie,Shoemaker,,Charles Landis,,
SHOEM001,Matt Shoemaker,Matt,Shoemaker,,Matthew David,,
SHOPK001,Kelly Shoppach,Kelly,Shoppach,,Kelly Brian,,
SHOPT101,Tom Shopay,Tom,Shopay,,Thomas Michael,,
SHORB101,Bill Short,Bill,Short,,William Ross,,
SHORC102,Chris Short,Chris,Short,,J Christopher,,
SHORR001,Rick Short,Rick,Short,,Richard Ryan,,
SHOUB001,Brian Shouse,Brian,Shouse,,Brian Douglas,,
SHOWE001,Eric Show,Eric,Show,,Eric Vaughn,,
SHREC001,Chasen Shreve,Chasen,Shreve,,Chasen Dean,,
SHUCJ001,JB Shuck,JB,Shuck,,Jack Burdett,,
